"ID","Benzene","X","Y"
1,1.92718014983258,617016,5055277
2,0.908440224666377,616901,5058029
3,1.78280877006058,616383,5056023
6,2.2687501884346,616013,5050797
7,1.98630695404101,614386,5051540
8,2.15431978469885,614806,5049373
9,1.89191881978472,613467,5049945
10,1.51221348053598,609889,5052022
11,2.17275301676755,611739,5050874
12,1.29388380451092,610435,5054487
13,0.864346169997223,610432,5055978
14,1.06196640643614,611121,5056351
15,0.946146274525308,608897,5054999
16,0.949886913091205,607350,5053455
17,1.56868270404948,607864,5051541
18,1.32291339230038,605903,5050600
19,1.05202868704281,605890,5049824
20,1.45026507365857,606448,5048510
21,1.45312336297999,607446,5048889
22,1.74760282893847,608416,5048427
24,1.66747371084861,609895,5048005
25,1.7015031141562,610447,5048850
26,1.55937912313204,611350,5046538
27,1.58027375450371,612419,5048498
28,1.54938909789571,613827,5048033
29,1.43923575349782,614916,5046032
30,1.46152887133799,613888,5044500
31,1.65744175265029,612886,5045388
32,1.44509498877632,612509,5044008
33,1.37995205766572,610397,5045474
34,1.30225137740669,609892,5044510
35,1.1941431240671,610850,5043971
36,1.00305800974285,610439,5042987
37,1.48240819698791,611375,5042442
38,1.58385665461565,612808,5042073
39,1.16121179526436,612985,5040479
40,1.3599652467703,611386,5040458
41,1.06294347236683,605058,5048473
42,1.21956957678316,604438,5047465
43,1.36281589564127,606373,5047029
44,1.49715184291089,607354,5045567
45,1.84230066071472,608903,5046136
46,1.49619015198338,608885,5043459
47,2.19103100477106,607579,5043481
48,1.06729039592001,607393,5042024
49,1.42541075853818,608908,5041964
50,1.20271665758137,608206,5040690
51,0.856794847797171,606882,5040044
52,1.02732944864474,607869,5039039
53,0.747090935934815,607434,5037513
54,1.32230251235521,605871,5038473
55,1.17710754556759,604386,5039652
56,1.41581808714953,605165,5041810
57,1.39094427093648,605952,5042968
58,1.45835316759241,605916,5044483
59,1.35966058740233,604538,5044976
60,1.63489584406376,603391,5043102
61,1.61708048419675,602923,5043017
62,1.60689965493118,601401,5043522
63,1.37582726032791,600042,5042415
64,1.12171730840665,601778,5041161
65,0.999641971797642,602405,5038920
67,1.53578272425068,613141,5043494
68,1.49952284921101,610552,5041122
70,0.959991864950467,611945,5038524
71,0.918794917827193,609834,5038096
72,1.71660460242276,602810,5032672
73,1.44960414806486,612311,5036424
74,0.892418849744588,612444,5035457
75,1.13994319806201,610863,5035505
76,0.817584801009048,611853,5034005
77,0.821028549549023,610798,5032507
79,0.958708461496073,609477,5035535
80,1.13758740937633,608181,5036661
82,0.916488355305073,605949,5036014
83,0.802008006745642,604478,5036481
84,0.72074101230182,604432,5035081
85,1.18716565263176,602714,5033431
86,0.950142732875269,600304,5032508
87,0.995236152695721,602421,5031911
88,1.06910397397476,605439,5032674
89,0.815784677970783,605401,5030989
90,0.999775318826584,607403,5031001
91,0.797994129285572,608917,5031018
92,0.713177377421846,609410,5033350
93,1.20885174628594,594465,5039306
94,1.22505279088988,593886,5037662
95,1.05644102805691,591854,5035898
97,1.18327610060868,591857,5039443
98,1.21170151920344,589966,5038910
99,1.10422378415711,588421,5037001
100,1.07605042081878,589317,5034047
101,1.06340732003212,587539,5034402
102,0.837643489342896,584403,5034740
103,0.801488111275563,583841,5030716
104,0.799012646826259,581894,5029276
105,1.05512680584434,587494,5032504
106,1.03594865337046,589944,5031496
107,0.953111812436982,592609,5032047
